IdVendedor,NombreVendedor,MesVenta,AñoVenta,Ventas
281,Juan Mendoza,2,2021,24621.12
306,María Morales,5,2023,33229.15
373,Luis Martínez,10,2023,36768.69
114,Rosa Pérez,12,2021,32336.19
356,José López,3,2021,30054.79
230,Francisco Díaz,4,2021,48618.01
222,Laura Cruz,9,2022,8536.87
303,Jorge García,9,2021,19000.14
292,María Sánchez,5,2021,10568.19
38,Laura Martínez,5,2023,49252.0
77,Raúl Castro,6,2021,46514.54
387,Sofía Cruz,7,2021,21282.69
254,José Gutierrez,6,2023,8286.34
272,Rosa Flores,11,2021,35211.8
235,Marta Cruz,4,2021,27400.2
299,Raúl Rodríguez,7,2021,27693.62
47,Manuel Ramírez,1,2022,30527.42
2,Jorge Sánchez,9,2022,32824.0
43,Manuel Silva,9,2022,17305.29
238,Ana García,9,2022,41951.31
392,Lucía López,12,2021,48374.47
381,Antonio Cruz,1,2023,22874.22
315,Francisco Sánchez,4,2022,31541.87
339,Carlos Flores,11,2021,44175.93
258,Francisco Mendoza,12,2021,28253.11
270,Juan Rivera,1,2022,17696.85
145,Laura Ortiz,7,2021,32976.07
84,Luis Gutierrez,11,2021,45717.41
68,Miguel García,8,2022,9865.27
304,Pedro Díaz,9,2022,6084.65
395,Raúl Morales,12,2023,40986.48
362,José García,8,2021,28667.53
197,Lucía Pérez,4,2021,35975.52
74,Carmen Torres,4,2021,40407.35
83,Pedro García,1,2022,29426.51
135,José Díaz,7,2022,27825.67
375,Elena Díaz,1,2022,14443.43
379,Juan Silva,4,2021,26409.85
111,María Díaz,1,2022,16587.33
189,Jorge Gómez,3,2023,34087.77
197,Lucía Pérez,11,2021,25276.21
166,Antonio Mendoza,4,2022,6337.41
386,Marta Castro,4,2021,28225.98
148,Marta Ortiz,11,2023,8401.99
342,María Martínez,10,2022,15490.89
196,Rosa Mendoza,8,2022,46617.55
165,Juan Rodríguez,6,2023,8147.14
79,José Castro,11,2023,35133.93
173,Juan Gutierrez,6,2021,11233.94
48,José Cruz,9,2023,41378.08
383,Francisco Rodríguez,4,2021,5925.84
308,Juan Ortiz,4,2022,13030.02
29,Elena Flores,1,2023,13026.04
344,María González,2,2021,44816.22
223,María Mendoza,6,2023,48661.88
306,María Morales,7,2023,49767.8
272,Rosa Flores,9,2022,33256.38
155,Antonio Gómez,2,2021,32421.38
275,Laura Morales,7,2023,14746.19
294,Marta Sánchez,2,2023,45214.85
77,Raúl Castro,11,2022,8393.9
223,María Mendoza,6,2023,25084.77
368,Sofía Silva,9,2022,37601.94
129,Miguel Sánchez,11,2022,48366.35
153,Elena Ramírez,7,2021,13211.0
217,Laura Gómez,2,2021,26567.49
264,Elena Rivera,5,2023,41626.36
53,Rosa García,8,2022,21580.02
398,María Cruz,10,2022,40795.35
380,Carlos Ortiz,11,2021,46772.63
63,Sofía Díaz,2,2021,32814.99
388,Pedro Rodríguez,12,2022,20590.27
353,Miguel Martínez,9,2022,48993.27
265,Juan Cruz,5,2021,36185.4
327,Raúl Mendoza,1,2021,43334.04
43,Manuel Silva,3,2021,40946.18
213,María García,6,2022,49222.06
309,Miguel Díaz,11,2021,46711.57
215,Marta Morales,1,2023,47191.36
369,Francisco Flores,10,2021,42748.27
133,Raúl Torres,1,2023,38094.93
334,Laura López,9,2021,37305.88
83,Pedro García,2,2023,47893.82
322,Lucía Flores,12,2023,47732.77
41,Manuel Rivera,2,2022,8027.38
8,Luis Silva,5,2023,25952.66
84,Luis Gutierrez,3,2023,26800.32
199,Manuel Mendoza,2,2021,25042.28
313,Laura Pérez,12,2023,36126.53
114,Rosa Pérez,12,2021,29099.3
258,Francisco Mendoza,8,2022,38731.47
176,José Morales,12,2021,47606.93
165,Juan Rodríguez,4,2022,18100.24
203,Lucía Ramírez,1,2021,49349.4
72,Marta Gómez,1,2021,5219.89
226,Ana Rodríguez,10,2023,44621.69
63,Sofía Díaz,2,2023,9242.49
349,José Pérez,7,2022,27264.27
296,Jorge Ramírez,10,2021,43689.93
275,Laura Morales,5,2023,26510.52
338,Luis Cruz,12,2022,12658.04
148,Marta Ortiz,6,2022,6658.41
88,Antonio Silva,1,2023,22192.69
344,María González,8,2023,43424.78
215,Marta Morales,6,2021,46679.16
4,Lucía Rivera,9,2022,47118.06
85,José Rivera,7,2023,40842.9
16,Pedro López,8,2022,34265.99
197,Lucía Pérez,10,2023,36993.04
319,Manuel Flores,3,2023,25332.17
240,Carlos Torres,2,2021,32071.71
148,Marta Ortiz,1,2022,8908.92
153,Elena Ramírez,5,2021,24316.78
110,Ana Gómez,10,2021,48307.33
185,Antonio Ramírez,8,2023,33692.94
69,Raúl Ramírez,12,2022,25173.22
297,Luis Mendoza,11,2022,38793.93
263,Elena Gutierrez,9,2023,43311.97
388,Pedro Rodríguez,3,2023,45007.41
147,Francisco Morales,9,2023,40999.06
138,Lucía García,8,2021,44391.02
271,Laura Díaz,2,2022,6051.14
134,Sofía González,1,2021,43821.33
277,Francisco Torres,10,2021,25625.76
337,Marta Torres,6,2021,30333.38
350,José Ramírez,10,2023,43152.89
271,Laura Díaz,1,2022,31597.47
58,Francisco García,12,2023,24529.36
185,Antonio Ramírez,7,2021,20109.5
206,Carmen Martínez,1,2022,9587.86
141,Rosa Sánchez,6,2023,45017.3
352,Miguel Flores,10,2022,17889.31
189,Jorge Gómez,3,2023,27460.34
51,Carmen Rivera,11,2023,27318.53
257,Antonio Pérez,2,2022,16618.03
156,Miguel Pérez,10,2022,14664.95
46,Miguel González,7,2021,12389.12
10,Carmen Gutierrez,11,2022,32832.77
238,Ana García,11,2022,11571.08
323,Jorge Castro,12,2021,27529.91
362,José García,8,2022,28260.52
94,Francisco Cruz,3,2021,10820.09
245,Luis Morales,8,2021,31897.95
128,Juan Gómez,1,2023,7500.99
353,Miguel Martínez,3,2023,45782.01
84,Luis Gutierrez,12,2021,16518.3
321,Antonio Sánchez,9,2023,6386.83
95,Francisco Castro,1,2022,48175.79
276,Jorge Gutierrez,9,2023,6972.57
43,Manuel Silva,8,2021,10341.82
76,Miguel Ramírez,8,2023,36592.89
146,Lucía Gutierrez,2,2022,12777.38
310,Rosa Gutierrez,12,2022,9154.83
337,Marta Torres,6,2022,6313.63
209,Pedro Silva,12,2022,15947.33
133,Raúl Torres,11,2023,44796.69
292,María Sánchez,4,2021,46860.31
400,Carlos López,5,2022,23773.15
55,Ana Torres,6,2021,39532.02
24,Ana González,1,2023,28051.73
239,Laura Sánchez,8,2023,39153.73
42,Juan García,2,2023,41673.84
343,Manuel López,5,2023,23513.69
45,Luis Ortiz,10,2022,32524.53
257,Antonio Pérez,4,2022,44570.42
5,Raúl Silva,11,2023,34058.05
323,Jorge Castro,3,2022,38882.76
159,Antonio Rivera,9,2023,37010.35
83,Pedro García,8,2022,18682.72
96,Lucía Sánchez,9,2021,18805.98
23,Carmen Flores,8,2021,24819.85
